Lot,Temperature,Pressure,Power,GasFlow,Defects,Yield
L147,440.1,1.66,783.6,118.9,9,94.49
L148,439.4,2.19,778.4,125.9,7,95.69
L149,454.2,2.15,823.9,127.1,5,94.4
L150,479.4,2.66,787.3,135.5,15,90.59
L151,452.0,2.57,785.1,123.5,6,95.98
L152,452.8,2.43,767.7,122.0,5,96.88
L153,444.6,2.15,790.4,121.2,3,96.46
L154,451.9,1.98,780.2,117.9,4,97.3
L155,452.3,2.71,824.6,122.0,8,94.65
L156,444.3,2.21,815.1,118.2,6,96.34
L157,464.9,2.2,789.7,121.0,8,96.12
L158,453.8,2.2,833.8,127.9,6,96.7
L159,440.5,2.24,814.7,114.0,6,96.2
L160,455.3,2.17,795.1,126.8,5,96.51
L161,442.2,2.09,762.5,127.9,8,94.82
L162,456.3,2.09,834.4,119.3,5,96.34
L163,459.3,2.19,779.2,107.3,7,95.64
L164,460.1,2.64,775.3,116.4,7,93.8
L165,457.7,2.06,815.3,127.8,6,94.75
L166,453.3,2.22,836.6,119.9,5,96.39
L167,477.0,2.46,820.8,114.0,15,90.5
L168,501.1,3.65,808.5,117.0,30,82.87
L169,471.7,2.17,808.9,125.0,12,95.24
L170,444.0,2.42,812.8,123.3,6,95.68
L171,442.9,2.45,811.4,118.6,6,95.39
L172,443.5,1.79,804.2,117.8,6,97.31
L173,449.4,2.13,801.6,117.6,3,96.85
L174,452.7,2.13,799.1,114.5,1,98.73
L175,452.2,1.92,788.7,129.7,7,94.81
L176,473.9,2.34,795.8,118.1,11,93.2
L177,450.1,1.98,774.6,127.3,3,96.1
L178,461.6,2.55,798.5,129.1,4,96.57
L179,447.9,2.39,785.2,126.0,4,95.8
L180,494.2,3.26,783.4,117.4,24,84.72
L181,455.0,2.34,802.7,122.4,3,98.47
L182,443.1,1.97,820.9,119.9,5,96.99
L183,441.4,2.1,813.8,114.6,6,95.25
L184,453.9,2.3,776.4,121.9,4,97.17
L185,448.2,1.96,785.2,112.9,5,96.49
L186,455.7,2.34,814.1,127.1,4,95.51
L187,453.8,2.15,785.3,117.2,4,97.11
L188,449.4,2.13,796.6,121.2,4,97.77
L189,443.2,2.34,808.3,121.7,5,97.08
L190,437.9,2.29,785.5,118.4,8,92.42
L191,446.4,2.13,801.6,123.5,4,96.98
L192,478.5,2.7,780.0,117.2,15,92.11
L193,451.7,1.98,791.0,125.2,4,98.57
L194,476.7,3.01,804.8,111.9,15,91.37
L195,451.4,2.32,776.1,120.8,4,97.0
L196,471.3,3.13,806.6,131.6,15,89.8
L197,469.0,3.28,799.7,114.0,17,88.8
L198,451.2,1.95,808.3,115.9,5,96.26
L199,450.5,2.38,803.4,123.1,1,98.9
L200,440.9,2.16,820.5,121.1,4,96.46
L201,452.9,2.1,801.9,122.1,3,99.1
L202,454.5,2.41,793.6,122.9,4,94.82
L203,458.7,2.06,801.8,123.8,6,95.05
L204,458.4,1.92,808.1,126.7,8,93.73
L205,439.0,1.89,800.7,122.5,8,95.67
L206,442.5,2.32,800.6,118.6,6,94.42
L207,481.2,2.88,789.5,124.0,19,89.01
L208,454.1,2.55,790.1,131.4,4,97.75
L209,454.1,1.78,779.0,119.2,7,95.19
L210,480.8,2.54,826.2,114.2,14,91.36
L211,454.6,2.24,781.3,126.6,6,96.78
L212,479.3,2.83,789.6,119.3,13,92.74
L213,457.6,2.09,789.2,107.0,2,98.87
L214,455.2,2.28,813.4,125.1,5,97.21
L215,447.5,2.19,795.6,116.8,5,96.64
L216,456.1,2.42,818.7,119.5,7,96.54
L217,443.8,2.22,789.9,122.0,3,98.04
L218,448.1,2.23,804.2,121.1,5,95.2
L219,446.1,2.13,787.5,124.3,2,97.08
L220,478.6,2.39,832.2,117.4,16,91.25
L221,468.5,2.26,782.2,123.1,8,93.64
L222,435.1,1.86,804.6,118.4,9,96.02
L223,477.5,2.71,809.5,124.4,16,87.77
L224,437.1,2.35,806.2,123.7,5,94.95
L225,446.2,2.23,797.2,114.4,6,96.26
L226,458.7,2.16,798.1,126.5,5,95.87
L227,450.5,2.2,800.7,116.8,2,99.3
L228,441.4,2.27,797.8,124.8,7,95.09
L229,444.3,2.09,814.5,122.2,4,96.98
L230,455.4,2.04,833.2,131.0,7,95.98
L231,444.2,2.24,791.6,118.7,7,95.62
L232,451.7,2.0,779.5,117.9,3,97.92
L233,450.4,2.28,798.7,119.9,5,97.38
L234,444.8,1.86,838.7,118.2,4,97.66
L235,467.2,2.41,787.9,124.8,10,94.94
L236,455.1,2.29,824.6,110.3,3,96.49
L237,433.8,2.25,825.2,113.7,10,94.43
L238,451.5,2.4,791.7,113.6,5,97.47
L239,444.7,2.53,808.5,125.7,9,93.21
L240,456.8,2.4,824.4,130.3,8,94.23
L241,443.7,1.83,794.3,119.4,6,94.9
L242,477.7,2.75,796.9,119.0,13,90.93
L243,481.7,2.9,791.3,120.4,18,87.16
L244,456.9,2.21,784.8,127.0,5,96.41
L245,475.4,2.47,790.3,114.4,15,92.21
L246,468.3,2.6,781.6,121.4,8,94.33
L247,475.1,3.47,800.5,125.9,22,87.57
L248,444.8,2.05,788.5,123.0,6,96.66
L249,464.1,2.08,803.5,121.1,7,95.05
L250,453.2,1.92,776.7,126.0,6,94.83
L251,439.9,2.02,805.0,103.8,9,94.89
L252,457.3,1.93,812.5,124.1,7,93.88
L253,467.0,2.0,770.1,116.1,7,96.14
L254,495.8,3.04,805.6,109.0,23,86.59
L255,437.8,2.01,818.4,123.1,9,93.66
L256,446.1,2.73,781.9,128.2,8,94.99
L257,487.0,2.89,825.1,119.2,19,90.33
L258,444.3,2.24,806.3,125.7,6,94.77
L259,453.6,2.03,789.4,129.7,6,96.32
L260,456.2,2.34,799.2,127.9,6,94.96
L261,442.6,2.08,808.4,129.8,5,97.51
L262,449.5,2.22,801.1,124.5,2,98.99
L263,424.1,2.71,808.1,120.5,12,91.54
L264,441.8,2.18,786.2,110.4,5,95.91
L265,448.0,2.43,802.5,118.5,6,96.14
L266,460.3,2.52,778.8,114.9,8,94.24
L267,463.1,2.19,798.3,133.0,7,96.1
L268,438.6,2.55,786.4,118.9,10,93.39
L269,446.5,2.07,789.0,120.7,5,96.12
L270,451.0,2.56,818.5,123.3,6,96.07
L271,498.5,3.11,816.4,120.3,23,87.19
L272,438.5,2.09,809.1,130.2,6,95.63
L273,459.3,2.33,783.6,116.3,9,94.1
L274,450.1,2.39,795.3,121.2,3,97.82
L275,442.1,2.32,818.2,115.5,9,95.08
L276,453.7,1.89,802.1,112.1,4,96.79
L277,451.6,2.05,834.8,116.3,4,97.26
L278,445.2,2.15,805.9,119.8,4,97.83
L279,450.6,2.19,802.9,117.4,3,97.31
L280,446.9,2.32,795.4,115.8,5,94.64
L281,450.9,2.24,802.0,111.6,3,97.72
L282,455.3,1.93,797.7,119.5,7,93.65
L283,483.0,2.81,810.6,111.0,17,87.54
L284,440.1,2.32,814.4,124.6,6,96.65
L285,467.1,2.31,788.2,120.5,6,95.69
L286,434.4,2.42,780.0,111.3,10,91.4
L287,448.8,2.37,772.5,118.1,4,96.92
L288,454.7,2.29,807.6,115.5,4,96.76
L289,452.2,2.19,783.4,121.9,3,99.02
L290,445.0,1.87,767.7,128.0,6,96.23
L291,479.2,2.95,805.8,108.7,16,89.64
L292,446.1,2.24,837.4,120.7,4,94.37
L293,445.3,2.25,799.9,119.0,4,97.0
L294,456.8,1.94,812.6,124.0,7,96.81
L295,452.9,1.98,801.2,121.3,3,98.76
L296,444.5,2.41,798.5,115.5,5,96.29
L297,457.2,2.19,813.8,118.1,5,95.07
L298,452.5,2.34,795.6,115.2,4,96.16
L299,456.5,2.21,804.0,126.5,4,96.34
L300,455.0,2.21,804.8,120.1,5,94.94
L301,443.4,2.39,790.0,131.4,3,98.07
L302,445.5,2.1,814.9,119.6,2,97.88
L303,456.0,2.22,797.4,115.7,5,96.77
L304,454.9,2.11,788.7,110.9,4,97.07
L305,449.8,2.11,808.0,109.2,4,97.81
L306,450.9,2.14,786.5,110.5,5,96.59
L307,460.2,2.24,800.4,121.6,6,95.73
L308,467.4,2.62,799.9,123.1,9,94.42
L309,454.4,2.45,816.3,110.5,7,95.31
L310,448.4,2.02,807.1,125.4,4,96.39
L311,448.3,2.16,799.6,117.1,1,97.21
L312,458.8,2.11,812.3,120.9,4,95.49
L313,456.6,2.49,820.9,129.7,9,93.29
L314,456.5,2.24,808.4,125.4,7,96.41
L315,460.4,2.41,800.2,118.4,3,97.71
L316,450.2,1.9,780.3,114.7,2,98.17
L317,455.5,2.25,784.0,107.1,6,96.36
L318,447.5,2.38,795.4,115.7,4,96.46
L319,473.9,2.7,790.9,118.7,15,92.34
L320,449.0,2.41,797.2,114.1,4,95.11
L321,450.8,2.1,800.8,119.2,4,95.6
L322,454.8,2.48,807.9,120.5,6,95.22
L323,483.5,3.0,798.9,118.7,18,89.16
L324,502.4,2.71,807.3,116.1,25,84.02
L325,442.0,2.11,801.0,121.0,6,95.01
L326,440.3,2.49,770.4,122.7,9,92.94
L327,459.3,2.52,785.9,113.5,8,94.66
L328,456.3,2.1,797.8,128.5,4,95.01
L329,455.0,2.12,781.9,119.4,7,93.98
L330,476.2,3.53,809.0,120.1,20,87.49
L331,449.9,1.93,823.0,124.2,4,95.54
L332,442.8,2.02,818.3,121.4,8,95.02
L333,450.6,2.0,796.8,125.7,2,99.07
L334,444.6,2.05,822.4,121.7,9,93.73
L335,457.8,2.19,802.2,116.3,5,96.31
L336,448.8,2.25,794.9,122.2,1,98.65
L337,443.4,2.51,790.8,113.1,9,92.83
L338,447.4,2.0,795.5,120.7,3,97.18
L339,453.3,2.4,794.2,119.8,5,95.99
L340,445.5,2.16,802.6,118.8,5,96.58
L341,443.4,2.19,802.4,119.2,6,94.82
L342,451.9,2.33,800.0,108.7,4,96.1
L343,452.0,1.98,806.6,116.7,3,96.48
L344,473.4,3.61,817.9,120.6,19,89.05
L345,446.2,2.23,814.2,121.0,3,96.05
L346,496.3,3.05,777.7,113.8,24,83.96
L347,438.4,2.26,761.7,127.6,10,92.66
L348,466.2,3.42,814.0,114.8,16,91.01
L349,444.3,2.07,779.5,125.8,5,97.05
L350,448.3,2.09,796.6,122.6,4,97.18
L351,452.5,2.08,782.4,116.1,5,96.81
L352,487.9,3.43,773.0,130.7,22,86.97
L353,456.9,2.07,808.1,112.8,5,95.62
L354,448.7,2.44,811.4,125.5,8,94.31
L355,449.8,2.48,791.4,126.0,6,95.5
L356,442.0,2.09,761.1,116.0,6,95.94
L357,449.9,2.03,791.8,128.4,2,97.97
L358,447.7,2.29,805.9,118.5,3,96.55
L359,452.6,2.09,777.8,121.7,5,98.26
L360,468.0,3.14,802.8,121.6,16,90.21
L361,454.2,2.24,799.8,119.2,5,95.96
L362,495.9,3.03,808.7,124.9,23,85.57
L363,449.1,2.51,801.8,124.8,4,97.81
L364,453.2,2.56,785.4,109.5,6,96.76
L365,455.5,2.08,817.9,127.8,4,96.22
L366,446.8,2.12,797.6,110.0,1,99.9
L367,451.8,2.26,799.6,126.2,5,94.92
L368,450.1,2.27,786.0,126.8,1,98.22
L369,450.8,2.33,793.4,113.5,3,95.79
L370,443.8,2.6,786.7,117.5,8,95.69
L371,472.2,2.89,797.4,113.4,16,90.64
L372,454.0,2.04,825.7,118.7,5,98.66
L373,461.6,1.92,779.4,118.2,6,96.5
L374,457.7,2.05,775.8,124.7,6,95.88
L375,467.2,2.19,822.1,127.9,7,97.11
L376,443.9,2.56,796.9,128.4,6,96.09
L377,457.0,2.1,790.0,116.6,7,97.14
L378,451.5,2.24,815.6,118.7,0,99.26
L379,485.7,2.61,790.9,109.9,17,88.5
L380,443.5,2.44,827.4,115.2,6,95.73
L381,443.3,2.71,810.2,125.8,6,94.04
L382,445.2,2.09,792.7,129.7,5,95.46
L383,452.8,2.87,832.4,112.6,6,94.35
L384,445.8,2.41,790.9,116.4,3,98.11
L385,443.9,2.34,811.1,119.8,6,96.49
L386,451.2,2.57,804.5,121.7,7,94.8
L387,452.7,2.32,819.5,115.1,4,98.38
L388,465.0,2.13,823.4,122.5,6,95.23
L389,457.6,2.32,800.5,117.2,4,97.12
L390,445.4,2.42,788.7,119.9,7,93.82
L391,442.8,2.36,806.9,123.3,6,95.02
L392,453.9,2.3,789.8,120.0,4,95.7
L393,439.4,2.41,830.2,117.4,8,95.35
L394,464.7,2.43,802.0,119.3,9,93.0
L395,459.4,2.48,794.5,119.5,9,92.61
L396,446.2,2.33,802.8,117.8,3,97.39
L397,436.3,2.17,779.8,118.4,6,96.44
L398,460.8,2.23,785.4,129.6,4,97.52
L399,449.1,2.44,818.0,123.4,3,96.11
L400,459.9,2.04,790.1,118.2,5,93.57
L401,437.2,2.27,784.3,124.2,8,95.58
L402,445.2,2.12,808.0,118.0,4,97.86
L403,450.0,2.21,817.8,127.0,1,97.53
L404,450.4,2.46,810.8,122.2,5,97.0
L405,446.4,2.24,814.9,119.4,6,94.68
L406,474.3,3.04,788.6,122.7,16,89.73
L407,441.5,1.93,778.7,110.6,3,97.37
L408,448.9,2.35,822.5,113.2,7,94.71
L409,451.0,2.33,795.2,112.8,4,96.42
L410,454.1,2.63,796.2,120.9,9,94.23
L411,455.7,2.14,819.9,130.4,6,97.46
L412,441.0,2.24,808.3,133.4,8,94.42
L413,437.7,2.25,806.8,123.8,7,93.58
L414,460.2,2.52,832.5,123.0,8,96.21
L415,452.7,2.18,790.3,109.2,4,97.77
L416,474.3,2.64,813.9,116.7,12,91.97
L417,495.9,3.02,800.9,115.3,24,85.76
L418,475.7,2.94,804.0,116.3,12,91.99
L419,459.4,2.11,822.9,119.0,6,96.4
L420,450.5,2.24,807.6,117.2,5,95.09
L421,466.5,2.41,808.1,108.1,9,94.0
L422,464.0,1.99,816.1,124.5,11,92.25
L423,448.0,2.23,794.5,113.6,3,97.03
L424,457.8,2.06,787.4,121.4,7,94.97
L425,455.2,2.44,784.3,132.4,4,96.17
L426,492.4,2.8,770.5,114.5,22,86.71
L427,442.3,2.09,830.8,104.8,6,96.89
L428,455.5,2.28,783.5,118.3,4,95.71
L429,491.0,3.27,796.7,126.6,19,87.73
L430,435.9,2.19,795.8,131.8,7,97.26
L431,440.5,2.09,804.6,112.6,6,96.35
L432,433.7,2.58,812.2,123.0,11,91.91
L433,447.8,1.91,812.9,117.2,7,96.98
L434,455.7,1.76,791.3,119.4,10,92.56
L435,462.0,2.29,797.5,135.9,9,94.19
L436,450.6,2.1,804.2,111.0,2,96.56
L437,463.0,2.0,796.3,121.5,7,95.15
L438,439.0,2.34,824.1,122.8,8,95.32
L439,436.4,2.25,807.4,126.5,8,94.29
L440,449.6,2.09,811.0,120.6,5,96.28
L441,482.4,2.66,809.9,121.8,20,88.81
L442,449.7,2.37,817.6,117.7,7,92.93
L443,433.5,2.33,802.7,121.6,11,93.92
L444,449.3,2.18,780.5,117.9,4,99.04
L445,439.6,2.57,806.0,123.7,10,91.92
L446,492.2,2.56,790.2,117.8,22,87.48
L447,452.9,1.89,792.1,122.3,5,96.55
L448,452.4,2.87,808.8,119.8,6,96.06
L449,445.9,2.19,818.6,126.8,3,97.92
L450,441.5,2.25,800.3,119.7,4,97.57
L451,449.5,2.15,804.6,109.4,0,99.9
L452,457.6,2.27,825.5,127.6,6,95.64
L453,442.1,1.95,803.6,114.6,5,96.65
L454,454.0,2.49,839.0,116.1,5,95.52
L455,445.8,2.18,808.5,116.4,5,95.77
L456,443.7,2.42,773.6,128.2,6,96.63
L457,449.1,2.27,811.3,107.2,4,96.69
L458,441.7,2.29,805.7,138.8,8,95.02
L459,445.6,2.31,819.3,126.3,6,96.69
L460,440.4,2.29,810.1,121.3,8,93.91
L461,465.7,2.33,797.9,119.7,8,94.72
L462,450.3,2.47,781.6,121.7,6,96.11
L463,444.4,2.24,796.9,123.1,5,97.11
L464,451.7,2.34,787.2,123.9,4,97.83
L465,449.1,2.18,791.3,123.3,5,94.26
L466,448.2,2.49,808.8,120.5,3,97.02
L467,454.9,2.06,825.0,118.8,8,95.69
L468,456.1,2.56,805.9,119.1,6,95.41
L469,445.8,2.19,782.1,118.8,2,96.84
L470,445.4,1.91,806.7,126.8,6,95.53
L471,447.8,2.23,817.9,123.6,3,95.98
L472,431.6,2.06,790.9,102.4,12,93.94
L473,437.9,2.37,798.0,123.9,7,97.14
L474,499.3,2.76,800.2,121.2,23,86.09
L475,463.2,2.11,788.2,119.9,5,95.97
L476,471.2,3.14,809.7,117.7,16,93.54
L477,454.6,2.11,798.2,126.7,3,97.97
L478,481.1,2.66,806.3,125.7,17,90.66
L479,474.6,1.88,786.7,115.4,12,93.79
L480,459.0,2.35,793.4,122.4,3,98.36
L481,449.0,2.36,810.8,114.2,4,96.2
L482,442.4,2.29,794.4,111.7,5,97.27
L483,437.1,2.01,825.9,116.2,9,95.03
L484,487.0,2.7,794.0,125.2,20,89.62
L485,443.9,2.2,803.4,125.7,7,93.88
L486,438.6,1.97,814.0,123.1,9,93.62
L487,444.8,2.5,778.7,124.4,6,98.19
L488,441.3,2.38,773.6,123.1,4,97.78
L489,463.5,2.16,777.1,116.2,8,94.07
L490,457.1,2.21,818.9,122.6,5,94.97
L491,449.9,2.24,791.7,124.8,2,97.06
L492,461.8,1.79,838.4,124.5,10,93.86
L493,452.2,3.43,791.5,127.1,12,94.33
L494,443.1,2.06,802.8,124.2,4,95.93
L495,462.2,2.0,823.1,122.1,7,95.45
L496,454.3,2.14,830.1,126.4,4,96.73
L497,441.7,2.56,830.9,119.8,7,95.33
L498,448.5,2.33,818.1,114.7,1,99.81
L499,466.8,2.91,815.4,119.0,11,92.59
L500,438.9,2.31,808.9,115.5,5,96.02
